,AI System,Risk
0,"To analyze and optimize its recruiting material, Amgen relies on the AI ​​solution of Textio. At the beginning, Amgen concentrated on assessing how well the current job descriptions reflect the company's brand and how effective they were in the extraction of the desired candidate: inside. The Algorithm from Textio uses NLP (Natural Language Processing) to analyze the language of job advertisements and calculates a score that represents the performance compared to similar target profiles based on setting data and academic research.
 In the next step, the job profiles were checked and optimized by the phrases and keywords proposed by Textio. The Textio's AI algorithm extends the writing process with a detailed word-for-word analysis and suggestions for alternative formulations and valuable recommendations for the entire document (e.g. text length).","[0, 1, 0]"
1,"Happycar has integrated Retorio's AI solution for the analysis of video interviews into its setting process. Based on computer vision and classification techniques, Retorio is developing a unique personality profile based on the Big 5 framework and a separate communication profile for every candidate. These profiles can then be combined into a profile that offers a comprehensive overview of the people. To do this, applicants have to provide a 1-minute video for a job in customer care at Happycar in addition to the CV, in which you answer the question of why you are enthusiastic about working at HappyCar. These videos are then analyzed by Retorio's AI solution.","[1, 0, 0]"
2,"IBM has developed a AI solution to predict personnel fluctuations within the next 6 months with an accuracy of 95 %, which builds on IBM's Ki platform Watson. Your algorithm focuses on several factors in connection with potential fluctuation. The most important are the times between promotions, the total number of working hours, including overtime and commuting, as well as differences in salaries and bonuses within the company.
 It is important to note that IBM does not collect any data from social media and email accounts, as this could have a disadvantageous effects on employee satisfaction if people feel spied on.","[1, 0, 0]"
3,"The Ki solution from Keencorp continuously analyzes changes in formulations across the communication channels in relation to the commitment and satisfaction of the staff. First, a benchmark based on historical communication data is developed. Next, a real -time index is created that measures stress and solidarity in the entire organization and for custom subgroups, such as functions, locations or office hours. This index is then depicted against the benchmark and visualized in a heat map (diagram).","[1, 0, 0]"
4,"Poshmark worked with a AI-based startup to strengthen his recruitment efforts. With the help of AI technology, they were able to access much more candidate: accessible inside and also find the exact contact information to contact them.
 KI offers the opportunity to check several CVs much faster and more efficiently. AI models can quickly compare job descriptions to search for several crucial parameters and to check, such as: B. Earlier experiences of the candidate: inside with a certain company, networks within a certain industrial area, social skills and profiles on social media.
 AI technologies use NLP to quickly filter out the appropriate candidate: quickly out and avoid accidental elimination by taking job descriptions into account with different titles that mean the same. NLP can analyze the social media profile and past online activities of candidate: analyze inside to determine key rates or functions that can arouse your interest in a position or job description. This function enables recruiters: Inside, to determine the interaction channels in which the desired candidate are the most active inside, which can continue to help not only get in touch faster, but also to offer the candidate: also a more personal experience inside.
 The integration of AI offers recruiters: Inside a list of candidate: inside with a very high suitability for the position that you can contact the way you prefer.","[1, 0, 0]"
5,"NRV worked with a AI-based platform for job advertisements that automated and optimized the visibility of job advertisements on relevant websites in your network in order to increase the presence of the right job seekers, without additional expenses or manual interventions. This made it possible to diversify NRV pizza to diversify the recruitment sources with minimal effort and to expand its candidate pipeline.
 
 AI models use sophisticated algorithms to predict the best job portals for placing ads for a certain type of role and the duration for which you should be published. Such AI-capable advertising platforms use years of historical data and offer the ideal targeting strategy for every jobot type. The AI ​​model is also able to calculate and determine the cost-per-click (CPC) bid rate of different websites and to determine how long a certain job portal should be used for the circulation of a display for a specific role.","[1, 0, 0]"
6,"Swissom worked with an external provider to develop a AI-based solution that is known internally as ""Ask the Brain"". Since its introduction, the solution has recorded over 5 million question calls. The knowledge database has proven to be particularly useful for new employees: inside, the immediate access to all information you need when you start a job and a step-by-step instructions to get your work computer running. This saves the IT department valuable time that it can spend on more urgent problems, and gives the employee: inside also the opportunity to manage their own learning and onboarding-which means that they are brought up to date faster.
 
 AI-based platforms can analyze millions of data points that create office teams every day, and use the results to build a real-time network of the knowledge of an organization. Questions go directly to the people who are suitable to help, which enables high -quality answers and quick reactions. AI-supported knowledge databases that use technologies such as NLP and machine learning can increase the productivity of these systems by recognizing content types, extracting important information and automatically organizing content in common topics such as projects, products, processes and customers. AI platforms also help to collect data from different sources such as intranet, wikis, cloud drives and tools for cooperation in order to keep knowledge banks up to date, relevant and useful.
 Some AI models can also help to discover and record the skills of the staff management system. NLP can be used to assign projects and products to the employees: inside that have worked on it, and this can help with the occupation of projects and suggestions for suitable employees: inside for a project role that requires certain skills.","[0, 1, 0]"
7,"With the help of KI, IBM has developed ""Your Learning"", a rich, personalized digital marketplace for learning. This made it possible for employees to navigate to their colleagues: to navigate the most popular learning content, to register for targeted learning channels and to explore the skills and awards they needed to prepare for the most sought -after roles of the company.
 
 The ""Your Learning"" platform also helped to tackle the demographic change of the workforce, improve the learning experience of the employees: to promote career transparency and to improve social compatibility in the organization.
 A learning chatbot is also available around the clock to answer questions. As a result, the AI-controlled IBM learning platform recorded an increase in registrations and course qualifications, which accelerated the strategic acquisition of skills.
  
 AI analyzes and recommendations can be used to personalize the learning needs of an employee. Tailor -made courses can also be developed based on the skills, progress, learning needs, qualification requirements and previous learning successes of each individual team member.
 AI algorithms that use predictive analytics help to determine future learning requirements for a certain role, and this can be used to use the existing learning material and recommendations for personnel based on your needs, learning styles, preferred learning methods and to give professional responsibilities.
 AI analyzes can also be used to recommend certain employees: inside training programs to improve their effectiveness or performance indicators. These findings can also help the staff to get back on course faster and proactively develop or improve the skills that are needed.","[0, 1, 0]"
8,"Ikea worked with a AI-based company that enabled them to install a chat bot directly in their job kiosks. The chatbot was able to determine immediately which qualifications were necessary for the respective position and the candidate: indicate vacancies for which they were qualified. As a result, the setting process could be rationalized and the HR department was able to collect applicants from the kiosks in order to select the most suitable candidate: inside for their vacancies.","[0, 1, 0]"
9,"After carrying out a thorough job analysis, the AI ​​model identified evaluation content in its catalog, which corresponded to the important skills that were identified by this job analysis. Various mini -game tests were carried out with around 200 customer service staff: inside (CSRS). The superiors of these CSRs were then asked to evaluate them for various aspects of work performance. Subsequently, statistical analyzes were carried out in which the test results were compared with the ratings of the work performance.
 
 This model was then used to sort out the non -suitable candidate: to sort out the inside, and the organization was able to reduce the percentage of low -performance candidate: to reduce 32 % inside without having negative effects.
 
 The AI ​​software used creates custom algorithms for companies by executing its mini-games with at least 50 of the organization's top performers and then evaluating its cognitive, social and emotional properties. Then she uses this model to find applicants: to find the inside with similar properties. Job seekers play different games when they apply for a job, and a matching algorithm is used to select those who best fit the position or have similar skills like the service providers: inside in the company.","[0, 1, 0]"
